
 ------------------------------------------------- 
[t=2376000.0s] a=32594, e=0.5887, i=4.1096, Fr=-0.6466, Fs=1.0000, Fw=0.4836, reward=696.489
[t=2388000.0s] a=32617, e=0.5857, i=4.2962, Fr=1.0000, Fs=1.0000, Fw=1.0000, reward=878.816
[t=2400000.0s] a=32701, e=0.5837, i=4.4651, Fr=-0.9754, Fs=1.0000, Fw=1.0000, reward=901.443
[t=2412000.0s] a=32950, e=0.5854, i=4.5667, Fr=0.5951, Fs=1.0000, Fw=0.1180, reward=561.121
[t=2424000.0s] a=32926, e=0.5837, i=4.5427, Fr=1.0000, Fs=1.0000, Fw=0.5009, reward=726.763
[t=2436000.0s] a=32864, e=0.5800, i=4.6423, Fr=-0.6489, Fs=1.0000, Fw=-0.7484, reward=913.030
[t=2448000.0s] a=32918, e=0.5773, i=4.8260, Fr=0.3168, Fs=1.0000, Fw=0.5775, reward=719.618
[t=2460000.0s] a=33010, e=0.5754, i=5.0006, Fr=-0.2324, Fs=1.0000, Fw=1.0000, reward=910.981
[t=2472000.0s] a=33142, e=0.5753, i=5.0818, Fr=-1.0000, Fs=1.0000, Fw=1.0000, reward=988.012
[t=2484000.0s] a=33329, e=0.5773, i=5.0586, Fr=0.6567, Fs=0.9640, Fw=1.0000, reward=944.548
[t=2496000.0s] a=33204, e=0.5722, i=5.1938, Fr=-0.9052, Fs=1.0000, Fw=-0.0486, reward=528.614
[t=2508000.0s] a=33284, e=0.5700, i=5.3844, Fr=0.5135, Fs=-0.3093, Fw=1.0000, reward=380.402
[t=2520000.0s] a=33355, e=0.5676, i=5.5734, Fr=0.2342, Fs=1.0000, Fw=1.0000, reward=913.982
[t=2532000.0s] a=33455, e=0.5669, i=5.6425, Fr=-0.9001, Fs=1.0000, Fw=1.0000, reward=990.977
[t=2544000.0s] a=33762, e=0.5710, i=5.6230, Fr=0.8181, Fs=1.0000, Fw=0.5790, reward=762.456
[t=2556000.0s] a=33782, e=0.5685, i=5.7347, Fr=0.3632, Fs=1.0000, Fw=1.0000, reward=900.584
[t=2568000.0s] a=33824, e=0.5654, i=5.9299, Fr=-0.7806, Fs=1.0000, Fw=0.5998, reward=728.111
[t=2580000.0s] a=33878, e=0.5627, i=6.1499, Fr=-1.0000, Fs=1.0000, Fw=1.0000, reward=907.445
[t=2592000.0s] a=33913, e=0.5605, i=6.1512, Fr=-0.7568, Fs=1.0000, Fw=0.4292, reward=716.900
[t=2604000.0s] a=34110, e=0.5627, i=6.1451, Fr=1.0000, Fs=1.0000, Fw=-0.8275, reward=920.512
[t=2616000.0s] a=34233, e=0.5622, i=6.2238, Fr=-1.0000, Fs=0.8074, Fw=0.5035, reward=666.716
