
 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 

 ------------------------------------------------- 
[t=12000.0s] a=8509, e=0.1218, goal_e=0.1868, Fr=-0.8199, Fs=-0.1932, reward=625.052
[t=24000.0s] a=8525, e=0.1250, goal_e=0.1868, Fr=-1.0000, Fs=-1.0000, reward=373.741
[t=36000.0s] a=8525, e=0.1276, goal_e=0.1868, Fr=0.7818, Fs=-1.0000, reward=580.518
[t=48000.0s] a=8536, e=0.1299, goal_e=0.1868, Fr=-0.3658, Fs=0.4890, reward=525.648
[t=60000.0s] a=8550, e=0.1312, goal_e=0.1868, Fr=-0.8415, Fs=1.0000, reward=246.006
[t=72000.0s] a=8555, e=0.1334, goal_e=0.1868, Fr=-0.0017, Fs=0.1016, reward=217.716
[t=84000.0s] a=8558, e=0.1351, goal_e=0.1868, Fr=-0.6168, Fs=0.3452, reward=198.645
[t=96000.0s] a=8566, e=0.1371, goal_e=0.1868, Fr=0.8859, Fs=0.3666, reward=357.240
[t=108000.0s] a=8567, e=0.1391, goal_e=0.1868, Fr=-0.2892, Fs=0.7481, reward=154.511
[t=120000.0s] a=8581, e=0.1408, goal_e=0.1868, Fr=-1.0000, Fs=-0.0569, reward=84.970
[t=132000.0s] a=8584, e=0.1434, goal_e=0.1868, Fr=0.4881, Fs=-1.0000, reward=73.950
[t=144000.0s] a=8598, e=0.1459, goal_e=0.1868, Fr=-0.0287, Fs=0.1932, reward=31.213
[t=156000.0s] a=8603, e=0.1478, goal_e=0.1868, Fr=1.0000, Fs=0.2228, reward=18.824
[t=168000.0s] a=8632, e=0.1502, goal_e=0.1868, Fr=1.0000, Fs=-0.5815, reward=176.362
[t=180000.0s] a=8633, e=0.1536, goal_e=0.1868, Fr=0.8065, Fs=-0.5240, reward=-22.131
[t=192000.0s] a=8647, e=0.1562, goal_e=0.1868, Fr=1.0000, Fs=0.0111, reward=173.454
[t=204000.0s] a=8666, e=0.1578, goal_e=0.1868, Fr=0.4543, Fs=0.4699, reward=-28.927
[t=216000.0s] a=8681, e=0.1608, goal_e=0.1868, Fr=1.0000, Fs=0.8095, reward=-27.953
[t=228000.0s] a=8687, e=0.1646, goal_e=0.1868, Fr=0.1932, Fs=1.0000, reward=-24.269
[t=240000.0s] a=8700, e=0.1674, goal_e=0.1868, Fr=1.0000, Fs=0.6042, reward=179.206
